#### Side:src ###
Experiment	n_seqs:	total_toks:	mean_len:	median_len:	max_len:	EMD:	n:	zero_types:	effective_n:	0%:	1%:	5%:	10%:	25%:	50%:	75%:	90%:	95%:	98%:	99%:	100%:
runs-ende-001m/044-ende-04k04k-r1	1,000,000	42,469,406	42.4694	37.0000	513	0.5069	4,000	39	3,961	1438503	105819	31603	18529	8074	4355	2717	1481	686	272	79	1
runs-ende-001m/055-ende-08k08k-r1	1,000,000	36,800,253	36.8003	32.0000	513	0.5390	8,000	54	7,946	1438586	41430	11776	6880	3158	1680	1059	632	284	76	24	1
runs-ende-001m/066-ende-16k16k-r1	1,000,000	32,737,955	32.7380	29.0000	513	0.5823	16,000	99	15,901	1438670	16790	4665	2711	1248	636	381	237	103	27	8	1
runs-ende-001m/077-ende-32k32k-r1	1,000,000	30,025,073	30.0251	26.0000	513	0.6399	32,000	267	31,733	1438743	7551	2015	1117	479	223	131	89	39	10	4	1
runs-ende-001m/088-ende-48k48k-r1	1,000,000	28,907,806	28.9078	25.0000	513	0.6773	48,000	532	47,468	1438776	4867	1229	667	264	120	69	50	23	6	3	1
runs-ende-001m/099-ende-64k64k-r1	1,000,000	28,268,419	28.2684	25.0000	513	0.7038	64,000	833	63,167	1438801	3663	872	456	172	76	43	32	15	5	2	1

runs-ende-030k/000-ende-chars-r1	30,000	4,882,920	162.7640	145.0000	513	0.7428	132	3	129	726030	635772	237123	112286	13772	1472	68	22	16	15	15	13
runs-ende-030k/011-ende-.5k.5k-r1	30,000	2,119,390	70.6463	63.0000	513	0.4203	500	7	493	54087	32167	15136	9362	4947	2417	1403	358	39	17	16	13
runs-ende-030k/022-ende-01k01k-r1	30,000	1,749,755	58.3252	52.0000	513	0.4442	1,000	18	982	47167	17510	5808	3659	1711	897	526	268	75	22	16	2
runs-ende-030k/033-ende-02k02k-r1	30,000	1,472,913	49.0971	44.0000	513	0.4759	2,000	31	1,969	47172	6702	2341	1399	648	332	215	112	47	17	10	1
runs-ende-030k/044-ende-04k04k-r1	30,000	1,255,305	41.8435	37.0000	473	0.5126	4,000	70	3,930	47172	3226	912	521	242	130	82	45	21	8	4	1
runs-ende-030k/055-ende-08k08k-r1	30,000	1,088,618	36.2873	32.0000	429	0.5567	8,000	168	7,832	47172	1324	342	200	91	48	31	18	9	3	2	1
runs-ende-030k/066-ende-16k16k-r1	30,000	970,659	32.3553	29.0000	388	0.6136	16,000	506	15,494	47172	526	140	78	35	18	11	7	4	2	1	1
runs-ende-030k/077-ende-32k32k-r1	30,000	917,970	30.5990	27.0000	355	0.6605	24,475	1,171	23,304	47172	320	83	45	20	9	6	4	2	1	1	1
runs-ende-030k/088-ende-48k48k-r1	30,000	917,998	30.5999	27.0000	355	0.6605	24,469	1,168	23,301	47172	321	83	45	20	9	6	4	2	1	1	1
runs-ende-030k/099-ende-64k64k-r1	30,000	918,011	30.6004	27.0000	355	0.6605	24,467	1,169	23,298	47172	321	83	45	20	9	6	4	2	1	1	1

runs-ende-500k/000-ende-chars-r1	500,000	77,623,117	155.2462	136.0000	513	0.7776	174	3	171	11632465	10038121	2856472	924024	154176	6963	588	314	255	224	223	217
runs-ende-500k/011-ende-.5k.5k-r1	500,000	35,574,722	71.1494	63.0000	513	0.4409	500	7	493	926844	550356	283585	162852	82891	40008	19087	834	379	268	229	217
runs-ende-500k/022-ende-01k01k-r1	500,000	29,271,876	58.5438	51.0000	513	0.4504	1,000	16	984	723884	287733	104386	64690	29265	15135	8679	1833	590	288	243	2
runs-ende-500k/033-ende-02k02k-r1	500,000	24,810,276	49.6206	44.0000	513	0.4763	2,000	23	1,977	723964	107430	43108	24133	10974	5445	3487	1785	654	277	139	1
runs-ende-500k/044-ende-04k04k-r1	500,000	21,223,825	42.4477	37.0000	513	0.5063	4,000	38	3,962	724008	52696	15882	9244	4039	2171	1363	764	362	130	38	1
runs-ende-500k/055-ende-08k08k-r1	500,000	18,398,429	36.7969	32.0000	513	0.5398	8,000	60	7,940	724042	20475	5929	3463	1574	842	528	320	144	38	13	1
runs-ende-500k/066-ende-16k16k-r1	500,000	16,370,721	32.7414	29.0000	513	0.5840	16,000	139	15,861	724083	8505	2352	1345	625	319	192	121	52	14	5	1
runs-ende-500k/077-ende-32k32k-r1	500,000	15,007,546	30.0151	26.0000	513	0.6422	32,000	378	31,622	724113	3793	1006	555	239	112	65	45	21	6	3	1
runs-ende-500k/088-ende-48k48k-r1	500,000	14,447,860	28.8957	25.0000	513	0.6801	48,000	733	47,267	724128	2452	617	334	132	60	35	25	12	4	2	1
runs-ende-500k/099-ende-64k64k-r1	500,000	14,128,085	28.2562	25.0000	513	0.7076	64,000	1,195	62,805	724144	1833	435	227	86	38	22	16	8	3	1	1

runs-ende-all/000-ende-chars-r1	4,511,868	700,288,711	155.2104	136.0000	513	0.7839	182	3	179	104804667	90577458	25762622	8344943	1267730	41484	4970	2477	2141	1969	1930	1897
runs-ende-all/011-ende-.5k.5k-r1	4,511,868	321,856,031	71.3354	63.0000	513	0.4464	500	7	493	8502439	4966131	2710048	1499623	762688	360686	141891	5896	2990	2210	1993	1905
runs-ende-all/022-ende-01k01k-r1	4,511,868	264,284,046	58.5753	51.0000	513	0.4527	1,000	15	985	6513634	2831969	938477	583627	264848	137460	78167	14344	4810	2383	1999	1
runs-ende-all/033-ende-02k02k-r1	4,511,868	223,940,863	49.6337	44.0000	513	0.4771	2,000	22	1,978	6514425	1003435	378745	220370	99992	49170	30943	15124	5090	2240	1092	1
runs-ende-all/044-ende-04k04k-r1	4,511,868	191,451,271	42.4328	37.0000	513	0.5047	4,000	35	3,965	6515075	483494	141749	84157	36877	19721	12308	6828	3082	1122	359	1
runs-ende-all/055-ende-08k08k-r1	4,511,868	165,983,850	36.7883	32.0000	513	0.5385	8,000	50	7,950	6515578	191885	52041	30883	14256	7613	4736	2765	1240	299	111	1
runs-ende-all/066-ende-16k16k-r1	4,511,868	147,738,248	32.7444	29.0000	513	0.5820	16,000	73	15,927	6516061	76181	21036	12086	5601	2862	1714	1065	436	97	26	1
runs-ende-all/077-ende-32k32k-r1	4,511,868	135,538,106	30.0404	26.0000	513	0.6395	32,000	142	31,858	6516527	33966	9042	4999	2133	997	581	385	156	33	11	1
runs-ende-all/088-ende-48k48k-r1	4,511,868	130,552,113	28.9353	25.0000	513	0.6762	48,000	258	47,742	6516766	21676	5523	2989	1182	531	305	212	87	20	7	1
runs-ende-all/099-ende-64k64k-r1	4,511,868	127,690,287	28.3010	25.0000	513	0.7020	64,000	397	63,603	6516938	16267	3912	2031	768	338	192	136	57	14	5	1

runs-enhi-030k/000-enhi-chars-r1	30,000	2,433,771	81.1257	54.0000	513	0.7185	175	3	172	489672	155864	74074	43875	9093	689	118	60	47	37	36	34
runs-enhi-030k/011-enhi-.5k.5k-r1	30,000	1,207,701	40.2567	27.5000	513	0.4472	500	11	489	30556	14356	8916	6849	2865	1274	759	119	62	44	37	23
runs-enhi-030k/022-enhi-01k01k-r1	30,000	1,003,538	33.4513	23.0000	513	0.4623	1,000	16	984	30000	9145	3730	2274	917	473	298	159	66	41	22	1
runs-enhi-030k/033-enhi-02k02k-r1	30,000	863,557	28.7852	20.0000	509	0.4982	2,000	26	1,974	30000	4333	1416	796	355	175	112	75	40	12	6	1
runs-enhi-030k/044-enhi-04k04k-r1	30,000	755,459	25.1820	17.0000	475	0.5460	4,000	60	3,940	30000	1858	563	303	133	66	42	28	11	5	2	1
runs-enhi-030k/055-enhi-08k08k-r1	30,000	675,789	22.5263	16.0000	445	0.6011	8,000	159	7,841	30000	855	216	119	51	25	15	11	5	2	1	1
runs-enhi-030k/066-enhi-16k16k-r1	30,000	628,474	20.9491	14.0000	423	0.6615	14,512	504	14,008	30000	449	103	53	22	10	6	4	2	1	1	1
runs-enhi-030k/077-enhi-32k32k-r1	30,000	628,469	20.9490	14.0000	423	0.6615	14,513	504	14,009	30000	449	103	53	22	10	6	4	2	1	1	1
runs-enhi-030k/088-enhi-48k48k-r1	30,000	628,474	20.9491	14.0000	423	0.6615	14,512	504	14,008	30000	449	103	53	22	10	6	4	2	1	1	1
runs-enhi-030k/099-enhi-64k64k-r1	30,000	628,474	20.9491	14.0000	423	0.6615	14,512	504	14,008	30000	449	103	53	22	10	6	4	2	1	1	1

runs-enhi-500k/000-enhi-chars-r1	500,000	40,091,496	80.1830	55.0000	513	0.7231	181	3	178	8014563	2572749	1213157	721171	145079	9991	1941	985	701	525	496	492
runs-enhi-500k/011-enhi-.5k.5k-r1	500,000	20,030,134	40.0603	28.0000	513	0.4522	500	10	490	500000	241727	151161	107609	47218	20848	10199	1822	1042	603	531	10
runs-enhi-500k/022-enhi-01k01k-r1	500,000	16,605,972	33.2119	23.0000	513	0.4620	1,000	15	985	500000	147064	61933	37669	15416	7866	4795	2455	1088	570	203	4
runs-enhi-500k/033-enhi-02k02k-r1	500,000	14,281,877	28.5638	20.0000	513	0.4953	2,000	21	1,979	500000	73655	23979	12984	5911	2952	1840	1209	572	215	66	1
runs-enhi-500k/044-enhi-04k04k-r1	500,000	12,480,445	24.9609	18.0000	513	0.5422	4,000	33	3,967	500000	29645	9300	5028	2240	1083	692	437	167	53	23	1
runs-enhi-500k/055-enhi-08k08k-r1	500,000	11,174,157	22.3483	16.0000	513	0.5945	8,000	55	7,945	500000	13729	3514	1967	832	407	239	156	73	22	9	1
runs-enhi-500k/066-enhi-16k16k-r1	500,000	10,322,158	20.6443	15.0000	513	0.6567	16,000	143	15,857	500000	6626	1485	774	312	137	78	57	27	11	5	1
runs-enhi-500k/077-enhi-32k32k-r1	500,000	9,805,094	19.6102	14.0000	464	0.7273	32,000	509	31,491	500000	2986	645	311	108	45	25	18	10	4	2	1
runs-enhi-500k/088-enhi-48k48k-r1	500,000	9,605,263	19.2105	14.0000	452	0.7694	48,000	1,256	46,744	500000	2014	397	175	57	23	12	9	6	2	1	1
runs-enhi-500k/099-enhi-64k64k-r1	500,000	9,492,658	18.9853	14.0000	450	0.8000	64,000	2,394	61,606	500000	1495	273	116	36	14	8	6	4	2	1	1

runs-enhi-all/000-enhi-chars-r1	1,315,219	105,063,278	79.8827	55.0000	513	0.7241	182	3	179	20980870	6736118	3186973	1888101	378806	26538	4883	2555	1722	1374	1326	1280
runs-enhi-all/011-enhi-.5k.5k-r1	1,315,219	52,557,490	39.9610	28.0000	513	0.4501	500	10	490	1372709	632431	396873	285079	123709	56019	26972	4699	2715	1559	1388	28
runs-enhi-all/022-enhi-01k01k-r1	1,315,219	43,572,909	33.1298	23.0000	513	0.4621	1,000	15	985	1315219	384740	160764	99290	39909	20714	12659	6514	2721	1420	559	13
runs-enhi-all/033-enhi-02k02k-r1	1,315,219	37,433,596	28.4619	20.0000	513	0.4959	2,000	23	1,977	1315219	193647	62745	34024	15677	7746	4878	3008	1426	502	165	2
runs-enhi-all/044-enhi-04k04k-r1	1,315,219	32,717,424	24.8760	18.0000	513	0.5411	4,000	33	3,967	1315219	77766	24750	13258	5867	2833	1822	1180	437	164	80	2
runs-enhi-all/055-enhi-08k08k-r1	1,315,219	29,286,367	22.2673	16.0000	513	0.5936	8,000	47	7,953	1315219	34923	9282	5146	2182	1064	629	405	193	65	27	1
runs-enhi-all/066-enhi-16k16k-r1	1,315,219	27,053,888	20.5699	15.0000	513	0.6553	16,000	116	15,884	1315219	17478	3857	2026	818	359	205	146	70	25	11	1
runs-enhi-all/077-enhi-32k32k-r1	1,315,219	25,706,513	19.5454	14.0000	474	0.7250	32,000	373	31,627	1315219	7751	1684	811	282	116	64	47	25	10	5	1
runs-enhi-all/088-enhi-48k48k-r1	1,315,219	25,187,749	19.1510	14.0000	453	0.7660	48,000	932	47,068	1315219	5247	1034	455	149	59	32	23	14	5	2	1
runs-enhi-all/099-enhi-64k64k-r1	1,315,219	24,904,408	18.9356	14.0000	448	0.7951	64,000	1,815	62,185	1315219	3867	720	305	93	36	19	15	9	3	2	1


